Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Fix agree to terms of service button,Done,Caleb Early,,,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
New Design for View Contest,Done,Caleb Early,,,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Edit Contest Details,Done,Caleb Early,"August 5, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
"Bug: Contest name, description, and prize being able to have emojis",Done,Caleb Early,"August 4, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Bug: If popup is opened near bottom it gets cutoff,Done,Caleb Early,"August 4, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Bug: Fixed Join Contest button so that it doesn’t show up for hosts on refresh and is properly displayed,Done,Caleb Early,"August 5, 2023",,,7 - July 24 - Aug 7 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/7%20-%20July%2024%20-%20Aug%207%2075391c724b484ddfb2428a433d0a1d53.csv),,
Notifications: Close noti menu with side menu,Done,Paul Bauer,"August 18, 2023",Low,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Accept/reject certain invitations,Done,Paul Bauer,"August 16, 2023",High,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Redirect invitations on noti click,Done,Paul Bauer,"August 17, 2023",Low,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Mobile formatting,Done,"Paul Bauer, Caleb Early","August 21, 2023",Medium,Mobile,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
